word,SUBTLwf,nLet,nSyll,nPhon,coltNOrth,coltNPhon,old20,pld20,posBigram,isHomograph,isHomophone,WNsensecount
lamps,2.03921568627451,5,1,5,3,3,1.6,1.6,104,0,0,2
lance,10.8627450980392,5,1,4,2,9,1.65,1.4,136,0,0,6
land,88.1176470588235,4,1,4,10,13,1.2,1,93,0,0,18
landed,12.8039215686275,6,2,6,1,2,1.8,1.6,469,1,0,8
landing,16.0392156862745,7,2,6,2,2,1.75,1.5,898,0,0,11
landings,1.37254901960784,8,2,7,0,0,2.4,2,227,0,0,11
landlady,2.07843137254902,8,3,8,0,0,3.4,3.95,143,0,0,1
landlord,5.33333333333333,8,2,8,0,0,3,3.55,165,0,0,1
landmark,1.25490196078431,8,2,8,0,0,3.05,3.4,150,0,0,4
lands,6.98039215686275,5,1,5,4,3,1.6,1.65,155,0,0,18
landscape,2.49019607843137,9,2,8,0,0,3.45,3.6,82,1,0,6
landscaping,1.25490196078431,11,3,10,0,0,4.45,4.6,168,1,0,4
lane,33.4117647058824,4,1,3,14,35,1,1,100,0,1,2
lanes,1.92156862745098,5,1,4,4,15,1.5,1,272,0,0,2
language,35.0980392156863,8,2,7,0,0,3.05,3.1,128,1,0,6
languages,4.09803921568627,9,3,9,0,0,3.65,4.2,160,1,0,6
lantern,2.01960784313725,7,2,6,0,0,2.25,1.9,300,0,0,1
lap,13.4705882352941,3,1,3,25,30,1,1,26,0,0,11
laps,3.27450980392157,4,1,4,11,13,1.05,1,53,0,1,11
lapse,1.37254901960784,5,1,4,0,13,1.75,1,92,0,1,9
larceny,2.2156862745098,7,3,7,0,0,2.95,2.9,204,0,0,1
lard,1.68627450980392,4,1,4,10,12,1.4,1.25,104,0,0,3
large,41.4509803921569,5,1,4,4,7,1.85,1.8,137,0,0,11
largely,1.64705882352941,7,2,6,0,0,2.65,2.75,230,0,0,2
larger,8.19607843137255,6,2,5,0,1,1.85,2.3,510,0,0,8
largest,7.88235294117647,7,2,7,0,0,2.35,2.95,273,0,0,7
lark,1.62745098039216,4,1,4,9,12,1.4,1.4,108,0,0,5
larynx,1.13725490196078,6,2,7,0,0,2.9,2.6,132,0,0,1
lasagna,3.58823529411765,7,3,7,0,0,3.45,4,77,1,0,2
laser,8.49019607843137,5,2,4,3,5,1.75,1.6,187,0,0,1
lash,1.66666666666667,4,1,3,12,23,1.1,1,88,0,0,7
lass,2.66666666666667,4,1,3,14,29,1.05,1,89,0,1,1
lassie,2.88235294117647,6,2,4,1,5,2.3,1.35,155,0,0,1
last,723.098039215686,4,1,4,13,17,1.15,1,100,1,0,21
lasted,6.17647058823529,6,2,6,3,1,1.7,1.9,492,1,0,2
lasting,2.35294117647059,7,2,6,4,2,1.6,1.85,919,0,0,6
lasts,4.94117647058824,5,1,5,1,1,1.65,1.65,158,0,0,10
latch,1.92156862745098,5,1,3,6,20,1.65,1.5,147,0,0,3
late,269.725490196078,4,1,3,11,24,1,1,73,0,0,11
lately,48.2156862745098,6,2,5,0,1,2,2,192,0,0,1
later,291.941176470588,5,2,4,8,10,1.5,1.15,223,0,0,12
lateral,1.52941176470588,7,3,6,1,1,2.55,2.55,207,0,0,3
latest,18.7254901960784,6,2,6,0,0,1.95,1.95,161,0,0,10
latex,1.45098039215686,5,2,6,1,0,1.9,2.85,116,0,0,2
latitude,1.58823529411765,8,3,7,0,0,2.6,2.6,159,0,0,4
latrine,2.92156862745098,7,2,6,0,0,2.8,2.85,559,0,0,1
latter,1.25490196078431,6,2,4,5,11,1.35,1,521,0,0,2
laugh,62.8627450980392,5,1,3,0,18,1.95,1.05,60,0,0,4
laughed,10.6862745098039,7,1,4,0,10,2.45,1.15,445,0,0,1
laughing,52.2941176470588,8,2,5,0,1,2.8,1.8,788,0,0,2
laughingstock,1.01960784313725,13,3,9,0,0,6.25,4.55,20,0,0,1
laughs,24.2745098039216,6,1,4,0,6,2.5,1.5,81,0,0,4
laughter,13.8039215686275,8,2,5,1,0,2.6,1.9,235,0,0,2
launch,19.9607843137255,6,1,4,0,3,1.85,1.75,130,0,0,8
launched,3.76470588235294,8,1,5,0,0,2.2,1.9,382,0,0,6
launching,2.3921568627451,9,2,6,0,0,2.7,2.4,469,0,0,9
laundering,1.37254901960784,10,3,7,0,0,2.65,1.95,332,0,0,3
laundromat,1.3921568627451,10,3,9,0,0,4.9,4.8,45,0,0,1
laundry,19.0588235294118,7,2,6,0,0,2.85,2.75,113,0,0,2
laurel,3.68627450980392,6,2,5,0,4,2.3,1.5,130,0,0,3
lava,3.45098039215686,4,2,4,2,3,1.85,1.85,44,0,0,1
lavender,2.03921568627451,8,3,7,0,0,2.85,2.9,255,0,0,3
law,116.313725490196,3,1,2,20,20,1.15,1,20,1,0,7
lawful,2.17647058823529,6,2,5,0,1,2.75,1.95,46,0,0,4
lawman,1.13725490196078,6,2,5,0,2,2.45,2.95,91,0,0,1
lawn,12.3529411764706,4,1,3,4,23,1.6,1,44,0,0,1
lawns,1.11764705882353,5,1,4,0,8,1.8,1.45,73,0,0,1
laws,17.0196078431373,4,1,3,9,12,1.2,1,45,0,0,8
lawsuit,6.09803921568627,7,2,5,0,0,3.15,2.8,64,0,0,1
lawsuits,1.94117647058824,8,2,6,0,0,3.55,3.4,151,0,0,1
lawyer,79.5098039215686,6,2,4,1,1,1.9,1.8,356,1,0,1
